Year,BBmsy,Catch,Price_CPI,depletion,biomass,K_Spict
1977,1.718770452,19554,28.08166114,0.859385226,1420.88534,1653.374176
1978,2.051710862,38943,23.68195136,1.025855431,1696.122878,1653.374176
1979,2.094328028,36299,25.68654008,1.047164014,1731.353939,1653.374176
1980,2.055422314,46280,24.11268365,1.027711157,1699.191087,1653.374176
1981,2.252715568,43610,21.8886824,1.126357784,1862.290873,1653.374176
1982,2.39391876,62838,19.40020305,1.19695938,1979.021729,1653.374176
1983,2.572775016,104806,20.41683525,1.286387508,2126.879886,1653.374176
1984,2.839430944,128062,18.48327086,1.419715472,2347.320899,1653.374176
1985,2.724310356,124489,17.3913556,1.362155178,2252.152195,1653.374176
1986,1.942466308,65323,27.19062266,0.971233154,1605.811816,1653.374176
1987,1.288796257,43367,29.32911027,0.644398129,1065.431225,1653.374176
1988,1.139999822,48689,22.65100882,0.569999911,942.4231332,1653.374176
1989,1.309493633,62748,18.3954059,0.654746817,1082.541478,1653.374176
1990,1.523711311,81164,16.88483845,0.761855656,1259.632467,1653.374176
1991,1.67137018,75253,15.89294743,0.83568509,1381.700147,1653.374176
1992,1.90354684,68622,13.28712081,0.95177342,1573.637594,1653.374176
1993,2.145715137,55866,12.47773113,1.072857569,1773.834998,1653.374176
1994,1.927735997,28333,15.52110015,0.963867999,1593.634458,1653.374176
1995,1.600803501,25220,22.94084584,0.800401751,1323.363585,1653.374176
1996,1.658344504,34512,14.87919839,0.829172252,1370.931989,1653.374176
1997,1.818619291,35735,16.04153401,0.909309646,1503.429086,1653.374176
1998,2.015678955,55790,16.81548705,1.007839478,1666.335766,1653.374176
1999,2.249373211,75670,15.69976893,1.124686606,1859.52779,1653.374176
2000,2.152608744,80697,17.22496636,1.076304372,1779.533854,1653.374176
2001,1.944031393,57285,12.71235087,0.972015697,1607.105651,1653.374176
2002,1.950632024,61488,11.04722626,0.975316012,1612.562308,1653.374176
2003,1.791489681,39225,11.95123826,0.895744841,1481.001388,1653.374176
2004,1.647857432,42734,11.77776295,0.823928716,1362.262462,1653.374176
2005,1.865433853,42618,10.6972071,0.932716927,1542.13008,1653.374176
2006,2.117612616,29627,11.43873549,1.058806308,1750.603007,1653.374176
2007,2.23851747,29931,14.84537678,1.119258735,1850.553489,1653.374176
2008,2.263211513,28188,13.77190385,1.131605757,1870.967735,1653.374176
2009,2.193820418,27272,14.37438695,1.096910209,1813.603013,1653.374176
2010,2.076935938,25198,14.49961707,1.038467969,1716.976123,1653.374176
2011,1.949617738,30226,17.76464568,0.974808869,1611.723811,1653.374176
2012,1.712918863,24756,18.01277663,0.856459432,1416.047907,1653.374176
2013,1.41641078,19249,19.12914316,0.70820539,1170.928503,1653.374176
2014,1.244420832,20964,23.82672878,0.622210416,1028.746634,1653.374176
2015,1.235415093,34022,33.69863838,0.617707547,1021.301706,1653.374176
2016,1.222406051,30748,26.74772349,0.611203026,1010.547299,1653.374176
2017,1.174068692,30441,23.28390805,0.587034346,970.5874281,1653.374176
2018,1.307109081,55941,27.37328641,0.653554541,1080.5702,1653.374176
2019,1.428865454,73582,23.54350826,0.714432727,1181.224621,1653.374176
2020,1.21887649,61877,22.06608589,0.609438245,1007.629456,1653.374176
2021,1.108763147,57000,22.01177701,0.554381574,916.6001773,1653.374176
